"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","484","@regression @swap - ETH to USDC swap on Optimism","api-tests","2026-01-21","passed","2026-01-21","POST /v1/advanced/routes - Happy Path @routes @happy-path","api/advanced-routes/routes.happy-path.spec.ts","",""
"","1261","@smoke @regression @bridge - USDC Ethereum to Polygon bridge","api-tests","2026-01-21","passed","2026-01-21","GET /v1/quote - Happy Path @quote @happy-path","api/quote/quote.happy-path.spec.ts","",""
"","41","@regression - Returns tokens with price information","api-tests","2026-01-21","passed","2026-01-21","GET /v1/tokens - Token Search @tokens @happy-path","api/tokens/tokens.happy-path.spec.ts","",""
"","1506","@smoke @regression - Returns at least one route with tool info","api-tests","2026-01-21","passed","2026-01-21","POST /v1/advanced/routes - Happy Path @routes @happy-path","api/advanced-routes/routes.happy-path.spec.ts","",""
"","63","@regression @order - Invalid order value returns 400","api-tests","2026-01-21","passed","2026-01-21","GET /v1/quote - Negative Tests @quote @negative","api/quote/quote.negative.spec.ts","",""
"","890","@regression - Returns tokens for multiple chains","api-tests","2026-01-21","passed","2026-01-21","GET /v1/tokens - Token Search @tokens @happy-path","api/tokens/tokens.happy-path.spec.ts","",""
"","54","@regression - Empty request body returns 400","api-tests","2026-01-21","passed","2026-01-21","POST /v1/advanced/routes - Negative Tests @routes @negative","api/advanced-routes/routes.negative.spec.ts","",""
"","16","@regression - Token includes market data","api-tests","2026-01-21","passed","2026-01-21","GET /v1/token - Token Details & Price @tokens @happy-path","api/tokens/tokens.happy-path.spec.ts","",""
"","68","@regression - Very large chain ID returns 400","api-tests","2026-01-21","passed","2026-01-21","GET /v1/tools - Negative Tests @tools @negative","api/tools/tools.negative.spec.ts","",""
"","62","@regression - Get native token (ETH) details","api-tests","2026-01-21","passed","2026-01-21","GET /v1/token - Token Details & Price @tokens @happy-path","api/tokens/tokens.happy-path.spec.ts","",""
"","63","@regression - Invalid token returns error","api-tests","2026-01-21","passed","2026-01-21","GET /v1/quote - Negative Tests @quote @negative","api/quote/quote.negative.spec.ts","",""
"","305","@regression - Returns tools for Solana (SVM)","api-tests","2026-01-21","passed","2026-01-21","GET /v1/tools - Happy Path @tools @happy-path","api/tools/tools.happy-path.spec.ts","",""
"","749","@regression @swap - USDC to USDT swap on Ethereum","api-tests","2026-01-21","passed","2026-01-21","GET /v1/quote - Happy Path @quote @happy-path","api/quote/quote.happy-path.spec.ts","",""
